"","city","city_ascii","province_id","province_name","lat","lng","population","density","overall_csi_index","overall_csi_rank","violent_csi_index","violent_csi_rank","nonviolent_csi_index","nonviolent_csi_rank"
"573","St. Paul","St. Paul","AB","Alberta",53.9928,-111.2972,5827,674.2,NA,NA,NA,NA,NA,NA
"574","Petrolia","Petrolia","ON","Ontario",42.8833,-82.1417,5742,452.8,NA,NA,NA,NA,NA,NA
"575","Southwest Middlesex","Southwest Middlesex","ON","Ontario",42.75,-81.7,5723,13.4,NA,NA,NA,NA,NA,NA
"576","Front of Yonge","Front of Yonge","ON","Ontario",44.5333,-75.8667,5710,20.3,NA,NA,NA,NA,NA,NA
"577","Vegreville","Vegreville","AB","Alberta",53.4928,-112.0522,5708,405.4,NA,NA,NA,NA,NA,NA
"578","Sainte-Brigitte-de-Laval","Sainte-Brigitte-de-Laval","QC","Quebec",47,-71.2,5696,52.4,NA,NA,NA,NA,NA,NA
"579","Princeville","Princeville","QC","Quebec",46.1667,-71.8833,5693,29.3,NA,NA,NA,NA,NA,NA
"580","Verchères","Vercheres","QC","Quebec",45.7833,-73.35,5692,77.7,NA,NA,NA,NA,NA,NA
"581","The Pas","The Pas","MB","Manitoba",53.825,-101.2533,5689,115.3,NA,NA,NA,NA,NA,NA
"582","Saint-Césaire","Saint-Cesaire","QC","Quebec",45.4167,-73,5686,68.1,NA,NA,NA,NA,NA,NA
"583","La Ronge","La Ronge","SK","Saskatchewan",55.1,-105.3,5671,163.9,NA,NA,NA,NA,NA,NA
"584","Tay Valley","Tay Valley","ON","Ontario",44.8667,-76.3833,5665,10.3,NA,NA,NA,NA,NA,NA
"585","South Bruce","South Bruce","ON","Ontario",44.0333,-81.2,5639,11.6,NA,NA,NA,NA,NA,NA
"586","McMasterville","McMasterville","QC","Quebec",45.55,-73.2333,5615,1810.3,NA,NA,NA,NA,NA,NA
"587","Redcliff","Redcliff","AB","Alberta",50.0792,-110.7783,5600,344.6,NA,NA,NA,NA,NA,NA
"588","Crowsnest Pass","Crowsnest Pass","AB","Alberta",49.5955,-114.5136,5589,15,NA,NA,NA,NA,NA,NA
"589","Saint-Philippe","Saint-Philippe","QC","Quebec",45.35,-73.47,5495,88.5,NA,NA,NA,NA,NA,NA
"590","Richelieu","Richelieu","QC","Quebec",45.45,-73.25,5467,176.2,NA,NA,NA,NA,NA,NA
"591","Notre-Dame-du-Mont-Carmel","Notre-Dame-du-Mont-Carmel","QC","Quebec",46.4833,-72.65,5467,42.6,NA,NA,NA,NA,NA,NA
"592","L'Ange-Gardien","L'Ange-Gardien","QC","Quebec",45.5833,-75.45,5464,25,NA,NA,NA,NA,NA,NA
"593","Sainte-Martine","Sainte-Martine","QC","Quebec",45.25,-73.8,5461,86.4,NA,NA,NA,NA,NA,NA
"594","Saint-Pie","Saint-Pie","QC","Quebec",45.5,-72.9,5438,49.9,NA,NA,NA,NA,NA,NA
"595","Peachland","Peachland","BC","British Columbia",49.7736,-119.7369,5428,340.1,NA,NA,NA,NA,NA,NA
"596","Ashfield-Colborne-Wawanosh","Ashfield-Colborne-Wawanosh","ON","Ontario",43.8667,-81.6,5422,9.2,NA,NA,NA,NA,NA,NA
"597","Trent Lakes","Trent Lakes","ON","Ontario",44.6667,-78.4333,5397,6.3,NA,NA,NA,NA,NA,NA
"598","Northern Rockies","Northern Rockies","BC","British Columbia",59,-123.75,5393,0.063,NA,NA,NA,NA,NA,NA
"599","Cookshire","Cookshire","QC","Quebec",45.3729,-71.672,5393,18.2,NA,NA,NA,NA,NA,NA
"600","West St. Paul","West St. Paul","MB","Manitoba",50.0119,-97.115,5368,61.1,NA,NA,NA,NA,NA,NA
